"","HEROP_ID","FIPS","SviSmryRnk","SviTh1","SviTh2","SviTh3","SviTh4","EssnWrkP","HghRskP","HltCrP","RetailP","TotWrkE","GiniCoeff","MedInc","PciE","PovP","UnempP","LngTermP","MobileP","RentalP","TotUnits","UnitDens","VacantP","FqhcAvTmDr","FqhcCtTmDr","FqhcTmDrP","TotTracts","OpRxRt","BachelorsP","EduHsP","EduNoHsP","EngProf","GradSclP","SomeCollegeP","CrowdHsng","DivrcdP","FamSize","HHSize","HhldFA","HhldFC","HhldFS","HhldMA","HhldMC","HhldMS","HsdTot","HsdTypCo","HsdTypM","HsdTypMC","MrrdP","NonRelFhhP","NonRelNfhhP","NvMrrdP","OccupantP","SepartedP","TotPopHh","WidwdP","DisbP","FemP","MaleP","MedAge","Ovr16","Ovr16P","Ovr18","Ovr18P","Ovr21","Ovr21P","Ovr62P","Ovr65","Ovr65P","SRatio","SRatio18","SRatio65","TotPop","Und18P","AmIndE","AmIndP","AsianE","BlackE","BlackP","HisE","HisP","OtherE","OtherP","PacIsE","PacIsP","TwoRaceE","TwoRaceP","WhiteE","WhiteP","DsmAs","DsmBlk","DsmHsp","IntrAsWht","IntrBlkWht","IntrHspWht","IsoAs","IsoBlk","IsoHsp","TotVetPop","VetP","StateAbbr","StateDesc","CountyName","StateFIPS","CountyFIPS","TotalPopulation","TotalPop18plus","FOODSTAMP_CrudePrev","FOODSTAMP_Crude95ci","FOODSTAMP_AdjPrev","FOODSTAMP_Adj95CI"
"11","050US37047",37047,0.937,0.952,0.8116,0.7951,0.846,56.8,23.9,13.6,15,19576,0.4746,37728,26755,18.8,4.7,29.2,29.7,70.9,23560,25.1,18.4,10.25,15,100,15,77.6,10.1,36.7,13.5,0.008,4.9,22.8,0.02,12.1,3.14,2.49,17.8,6.3,11.9,14.3,1.2,5.3,19227,4.2,43.9,14,44.3,8.3,2.7,36.6,81.6,2.6,47929,4.5,16.7,50.7,49.3,42.4,41313,81.9,40011,79.3,34654,75.5,24.9,10310,20.4,97.3,99.5,77.8,50453,20.7,1566,3.1,213,14472,28.7,2766,5.5,1539,3.1,22,0,2290,4.5,30351,60.2,0.67,0.25,0.4,0.56,0.54,0.6,0.02,0.35,0.12,39987,6.7,"NC","North Carolina","Columbus",37,47,"50,121","39,774",19.6,"(16.4, 22.9)",20.7,"(17.3, 24.4)"
"12","050US37039",37039,0.3729,0.7213,0.2482,0.2854,0.1333,45.7,23.2,13.7,17.7,11841,0.4319,36003,30800,14.6,5.4,20.9,20,36.2,18182,39.9,28.3,18.08,11,91.67,12,63.5,16.1,32.3,8.6,0.002,8.1,22.9,0.01,12.1,2.69,2.21,14.4,2.7,8,15.8,0.6,6.5,13042,3.8,51.4,8.8,56.9,8.2,3.1,24,71.7,1.9,28771,5.2,17.6,50.7,49.3,53.3,25139,86.1,24498,83.9,21806,81.6,36.7,9128,31.3,97.3,94.9,91.2,29197,16.1,470,1.6,156,449,1.5,1019,3.5,258,0.9,5,0,1226,4.2,26633,91.2,0.62,0.43,0.4,0.89,0.87,0.89,0.02,0.04,0.06,24468,11.3,"NC","North Carolina","Cherokee",37,39,"29,959","25,195",11.2,"( 8.4, 14.1)",12.7,"( 9.6, 16.0)"
"13","050US37171",37171,0.8005,0.8024,0.8797,0.4814,0.622,52.1,30.2,14.6,13.2,31960,0.4746,39064,31947,16.7,5,23.9,22.7,59.1,33609,63.1,12.6,16.68,22,95.65,23,97.5,13,28.5,17.3,0.023,6.4,23.3,0.03,10.4,2.91,2.4,16.5,5.2,10.2,12.6,1.1,5.1,29366,7,48.4,15.1,53.7,6.5,2.2,30.1,87.4,2.1,70340,3.7,18.6,51.3,48.7,43.7,58145,81.4,56306,78.9,48911,75.6,25.1,14719,20.6,95.1,94.5,80.2,71407,21.1,152,0.2,456,2680,3.8,8674,12.1,2354,3.3,39,0.1,4193,5.9,61533,86.2,0.61,0.37,0.37,0.76,0.79,0.75,0.04,0.07,0.19,56286,6.4,"NC","North Carolina","Surry",37,171,"71,462","56,528",14.1,"(11.0, 17.6)",15.2,"(11.7, 19.0)"
"14","050US37093",37093,0.8909,0.8384,0.9345,0.931,0.6535,50.9,19.7,16.7,12.6,19174,0.4864,36596,29575,17.4,7.4,14.4,21.8,76,20583,52.7,8.8,10.35,12,100,12,15.8,14.7,29,11.1,0.023,6.6,24,0.03,8.6,3.5,2.78,17.2,7.1,5.8,14,1.2,3.6,18763,6.3,45.3,19.8,47.9,8.2,3.4,36,91.2,4.1,52239,3.4,18.2,50.6,49.4,33.7,39870,75.1,38670,72.8,33774,69.4,14.4,6054,11.4,97.4,93.6,84.4,53102,27.2,3803,7.2,764,17797,33.5,8106,15.3,4160,7.8,7,0,4891,9.2,21680,40.8,0.5,0.22,0.18,0.34,0.35,0.36,0.03,0.35,0.17,35946,17.4,"NC","North Carolina","Hoke",37,93,"54,446","39,888",19.1,"(16.1, 22.3)",18.8,"(15.8, 22.0)"
"15","050US37105",37105,0.8953,0.8571,0.9666,0.8072,0.6112,53.7,31.5,10.2,10.4,29374,0.4268,39772,31394,15.5,4,19.7,14.3,86.3,26854,105.3,8.2,15.9,16,100,16,60.1,14.8,26.9,14.8,0.055,6.8,23.5,0.02,9.5,3.02,2.58,15.5,7.6,7.6,9.4,2,3.3,24659,7.5,47.8,16.6,52.6,6.1,3,32,91.8,2.1,63602,3.8,17.7,50.7,49.3,39.9,50932,78.9,49143,76.1,42414,72.4,21.6,10897,16.9,97.1,95,80.4,64565,23.9,86,0.1,793,11995,18.6,13590,21,3202,5,0,0,6081,9.4,42408,65.7,0.34,0.39,0.48,0.6,0.47,0.41,0.02,0.22,0.34,48894,7,"NC","North Carolina","Lee",37,105,"67,059","51,479",14.7,"(11.9, 17.6)",15.2,"(12.2, 18.3)"
"16","050US37173",37173,0.901,0.8581,0.832,0.7894,0.8788,53.2,15.3,14.4,7.9,5795,0.4522,38871,31040,21.1,8.3,23.9,25.3,66.1,8529,16.2,31.6,18.25,4,80,5,111.1,12.3,35.2,12.9,0.004,9,21.7,0.06,10.5,2.83,2.35,16.5,5.6,10,11.2,2.7,2.1,5837,7.3,44.5,13.2,52.6,7.2,2.2,31.7,68.4,1.1,13734,4.1,16.8,51.7,48.3,42.6,11323,80.5,10965,78,9611,74.5,24,2771,19.7,93.4,90.7,77.6,14065,22,4127,29.3,56,212,1.5,718,5.1,33,0.2,10,0.1,1026,7.3,8601,61.2,0.64,0.3,0.43,0.58,0.55,0.53,0.01,0.02,0.07,10965,5.7,"NC","North Carolina","Swain",37,173,"13,916","10,906",17.2,"(14.0, 20.7)",18.2,"(14.8, 21.9)"
"17","050US37015",37015,0.9586,0.9784,0.658,0.9446,0.9138,58.9,30.3,17.9,7.8,5959,0.4971,38283,27082,19.8,8.4,39.6,31,57.5,8988,12.9,21.9,7.88,5,100,5,59.4,11.1,35.6,18.1,0.008,6.8,20.5,0.03,8.4,2.89,2.26,21.6,6.6,13.6,11.4,1.2,5,7024,4.6,41.8,9.1,39.5,9,1.4,45.3,78.1,2.9,15901,3.9,24.8,48.2,51.8,45.9,15026,86,14619,83.6,13071,81,29.4,4245,24.3,107.3,105.9,75.3,17482,16.4,88,0.5,136,10498,60.1,379,2.2,206,1.2,1,0,490,2.8,6063,34.7,0.58,0.34,0.54,0.3,0.29,0.27,0.02,0.65,0.04,14619,7.4,"NC","North Carolina","Bertie",37,15,"16,922","14,112",24.9,"(20.8, 29.1)",26.7,"(22.1, 31.3)"
"18","050US37175",37175,0.4773,0.3764,0.4661,0.2959,0.7098,46.8,23,14.4,11.7,14317,0.4594,38491,38899,14.2,3.6,22,13.2,51.6,19147,50.6,23.8,16.88,12,100,12,34.5,23.9,23.9,6.1,0.006,14.7,21.9,0.03,9.8,2.69,2.2,17.2,4.5,11.8,11.9,0.8,5.7,14590,4.7,50.9,12.2,55.7,5.3,2.8,28.6,76.2,2.4,32092,3.5,14.5,51.6,48.4,51.9,28584,86,27983,84.2,25056,81,36.5,10247,30.8,93.9,92.3,87.5,33243,15.8,41,0.1,180,1302,3.9,1635,4.9,260,0.8,0,0,1785,5.4,29675,89.3,0.62,0.45,0.32,0.83,0.83,0.84,0.02,0.09,0.08,27981,11.2,"NC","North Carolina","Transylvania",37,175,"33,549","28,383",7.9,"( 5.8, 10.1)",9.1,"( 6.8, 11.9)"
"19","050US37055",37055,0.2071,0.3805,0.1384,0.4117,0.1422,44,19.2,9.3,12.6,18982,0.4228,41951,46784,7.5,5.9,17.1,5.3,51.4,34839,90.9,52.7,57.2,NA,0,10,56,29.4,22.3,4.7,0.014,13.4,21.3,0.03,10.9,2.7,2.26,14,3.9,9,13.3,1,6.1,16483,8.7,49.9,15,55.6,3.3,3,28.2,47.3,1.3,37323,4,10.6,50.9,49.1,48.5,31686,84.4,30732,81.9,27315,79.5,30.3,9108,24.3,96.6,94.6,92,37534,18.1,87,0.2,197,1052,2.8,2665,7.1,1399,3.7,22,0.1,2020,5.4,32757,87.3,0.49,0.71,0.28,0.85,0.77,0.82,0.02,0.12,0.11,30598,8.9,"NC","North Carolina","Dare",37,55,"38,110","31,485",6.4,"( 4.8,  8.4)",7,"( 5.2,  9.3)"
"20","050US37069",37069,0.6491,0.5819,0.7019,0.756,0.5107,47.3,26.1,10.9,13.5,33909,0.4162,44489,33957,10.1,5.5,16.2,23.2,54.1,30790,62.6,10.9,16.23,16,100,16,10.2,16.9,29.3,12.3,0.018,7.5,23.1,0.02,10.3,3.02,2.57,13.6,5.4,8.1,9.8,0.7,3.5,27442,6.3,55.2,20.8,54,5.1,1.6,31.1,89.1,1.5,70533,3.1,16.5,50.2,49.8,40.9,57832,80.4,56218,78.1,48690,74.6,20.8,12276,17.1,99,98.7,83,71962,21.9,269,0.4,582,17074,23.7,7637,10.6,4242,5.9,2,0,4466,6.2,45327,63,0.45,0.35,0.24,0.58,0.53,0.58,0.02,0.31,0.13,56107,8,"NC","North Carolina","Franklin",37,69,"77,001","60,292",13.2,"(10.6, 16.0)",13.6,"(11.0, 16.5)"
"21","050US37123",37123,0.7741,0.5705,0.9628,0.7537,0.5816,60.2,36.3,13.5,10.2,10907,0.4754,37472,30192,16.1,2.9,27.3,28.1,70.7,14930,30.4,32.5,15.06,10,100,10,25.2,12.8,33.6,16.1,0.035,6.5,19.4,0.02,10,2.92,2.49,13.4,7.6,9.9,11.3,0.3,3.6,10075,5.9,51,13.9,51.1,5.9,2.2,32.1,67.5,3,25047,3.8,18.6,50.9,49.1,43.6,21175,81.8,20481,79.2,17986,76.1,25.1,5645,21.8,96.6,96.4,87.6,25874,20.8,296,1.1,404,4318,16.7,4000,15.5,1445,5.6,0,0,2122,8.2,17289,66.8,0.71,0.4,0.58,0.55,0.5,0.45,0.07,0.27,0.31,20481,6.3,"NC","North Carolina","Montgomery",37,123,"26,085","20,705",15.8,"(12.9, 18.8)",17.1,"(13.9, 20.5)"
"22","050US37199",37199,0.5307,0.7089,0.6971,0.2109,0.2533,61.5,28,17.1,12.8,7579,0.4913,38960,34699,14.9,6,25.1,19.9,50.4,11317,36.2,27.6,20.31,4,80,5,32.1,15.1,35.1,11.9,0.011,7.9,20,0.02,8.8,2.77,2.26,16.3,4.4,11.9,12.2,1,4.8,8188,3.5,55.2,15.3,60.5,5.8,1.1,25.4,72.4,0.8,18516,4.6,19.9,50.5,49.5,47.9,15548,83.3,15232,81.6,13427,78.8,31.6,4946,26.5,97.9,94.4,84.5,18676,18.4,46,0.2,77,109,0.6,1051,5.6,467,2.5,0,0,709,3.8,17268,92.5,0.45,0.32,0.1,0.93,0.92,0.91,0.01,0.01,0.06,15222,6.9,"NC","North Carolina","Yancey",37,199,"18,938","15,582",11.4,"( 8.5, 14.5)",12.5,"( 9.2, 16.4)"
"23","050US37155",37155,0.9962,0.9828,0.9523,0.9758,0.9784,61.1,29.5,16.5,10.4,42751,0.5107,35262,22925,28.8,6.3,25.7,37.7,91.1,48874,51.6,12.5,8,35,100,35,56.3,9.6,34.9,21.2,0.025,5,19.3,0.04,8.2,3.35,2.65,16.9,9.6,8,14,1.6,4.1,42744,6,37.1,12.2,39.9,10.4,2.2,45,87.5,3.5,113390,3.5,17.8,51.8,48.2,36.5,90302,77.3,87020,74.5,74203,69.6,19.6,18490,15.8,93.2,90,75.8,116858,25.5,46281,39.6,954,27233,23.3,12216,10.5,9093,7.8,44,0,4224,3.6,29029,24.8,0.6,0.3,0.37,0.23,0.26,0.27,0.02,0.33,0.2,86892,6.5,"NC","North Carolina","Robeson",37,155,"117,365","86,828",29.8,"(26.1, 33.8)",30.9,"(27.0, 35.1)"
"24","050US37167",37167,0.6631,0.6169,0.769,0.5352,0.5549,55.8,29.6,15,11.7,28418,0.4464,41665,31623,14.2,4.1,25.4,12,63.3,28292,71.6,13.6,29.52,8,47.06,17,30.3,14.8,31.6,12.9,0.016,4.9,22.3,0.03,12,3.09,2.52,15.9,5.2,10.1,12.1,1,3.8,24436,7.5,49.2,16.7,50.4,7.6,1.8,32.8,86.4,1.3,61512,3.5,17.8,49.9,50.1,40.6,51303,80.7,49754,78.3,43371,74.9,23.2,12102,19,100.5,99.5,84.6,63557,21.7,177,0.3,1210,6998,11,3341,5.3,1666,2.6,213,0.3,2221,3.5,51072,80.4,0.53,0.48,0.42,0.76,0.64,0.74,0.06,0.26,0.09,49677,6.8,"NC","North Carolina","Stanly",37,167,"65,699","51,434",12.8,"(10.2, 15.6)",13.5,"(10.7, 16.6)"
"25","050US37161",37161,0.8072,0.7897,0.8584,0.4973,0.6958,57,27.7,14.2,10.9,27077,0.4655,35747,29217,17.6,5.5,23.5,16.5,59.2,32682,57.8,18.6,12.88,22,100,22,47.7,13.3,31.1,13.4,0.009,7.4,23.1,0.04,12.5,2.97,2.39,18.1,4.9,11.4,12.8,1.5,5.4,26589,5.6,45.9,13.2,50.9,7.2,2.9,28.6,81.4,3.7,63589,4.3,21.4,51.4,48.6,45.3,53207,82,51712,79.7,44815,76.5,26.7,14334,22.1,94.7,92.7,81.4,64850,20.3,153,0.2,342,5240,8.1,3533,5.4,1656,2.6,31,0,3627,5.6,53801,83,0.49,0.42,0.33,0.69,0.7,0.75,0.01,0.15,0.08,51712,8,"NC","North Carolina","Rutherford",37,161,"65,507","52,439",14.7,"(11.7, 18.1)",15.8,"(12.5, 19.7)"
"26","050US37065",37065,0.9605,0.966,0.901,0.9418,0.7773,59.1,26.6,15.6,12.5,20629,0.4566,38227,27235,21.9,8,22.9,22.4,99.8,23258,46,16,7.74,14,100,14,22.6,11.7,38.1,15.6,0.007,5,22,0.03,10.8,3.03,2.46,17.2,9.1,11.4,12.1,2,5.1,19533,8.5,37,9.7,42.9,10.8,1.9,39.1,84,3.3,48040,3.9,17.1,53.1,46.9,41.7,38996,79.9,37593,77.1,33156,73.9,24.5,9982,20.5,88.5,82,73.1,48777,22.9,178,0.4,123,27272,55.9,2838,5.8,995,2,55,0.1,1695,3.5,18459,37.8,0.69,0.45,0.53,0.61,0.26,0.33,0.02,0.66,0.21,37544,7.5,"NC","North Carolina","Edgecombe",37,65,"48,832","37,653",24.8,"(20.5, 29.3)",26.3,"(21.8, 31.1)"
"27","050US37041",37041,0.7394,0.6806,0.8769,0.7814,0.4594,52,19.7,19,12.4,6094,0.458,36389,33974,20.5,5.9,24.7,19.9,62.9,7169,41.5,16.5,21.2,3,75,4,28,14.2,35.1,12.6,0.007,10.3,17.5,0,9.6,2.76,2.26,17.1,6.9,10.6,12.5,1.8,4.8,5989,4.6,48.6,12.9,54.2,4,0.7,27.6,83.5,2.8,13552,5.7,14.9,51,49,47.9,11394,82.5,11119,80.5,9896,78.2,31.7,3770,27.3,96.2,91.9,89,13814,19.5,14,0.1,10,4593,33.2,534,3.9,376,2.7,0,0,502,3.6,8319,60.2,0.65,0.32,0.52,0.61,0.55,0.69,0,0.42,0.1,11119,9.6,"NC","North Carolina","Chowan",37,41,"13,891","11,123",17.9,"(14.7, 21.7)",19.6,"(15.9, 23.6)"
"28","050US37149",37149,0.3583,0.3121,0.4578,0.4165,0.413,50.9,24.5,19.2,10.5,8701,0.479,36437,38444,13.7,4.3,23.7,11.5,45,10949,46.1,20.3,8.52,8,100,8,29.6,20.3,27.2,8.1,0.009,12.6,21.4,0.03,9,2.8,2.22,20.5,2.6,14.5,12.1,0.5,4.9,8727,5.5,52.3,13.4,60.5,4.5,1.9,23.5,79.7,1.7,19341,5.3,17.4,52.4,47.6,54.4,16984,86.3,16623,84.4,14752,81.4,36.9,6312,32.1,90.7,88.5,77.4,19689,15.6,46,0.2,20,1002,5.1,1075,5.5,120,0.6,0,0,1232,6.3,17269,87.7,0.88,0.31,0.48,0.95,0.86,0.8,0.01,0.08,0.13,16623,8.8,"NC","North Carolina","Polk",37,149,"20,060","17,006",8.8,"( 6.6, 11.3)",10.2,"( 7.7, 13.0)"
"29","050US37113",37113,0.4906,0.6195,0.6351,0.3592,0.2288,53.1,20,10.3,11.4,16315,0.4875,37499,35682,14.4,2.9,18.7,16,46.8,27070,52.5,33.2,29.63,5,50,10,21.3,15.7,30.6,9.9,0.024,8.8,24,0.02,11.9,2.56,2.06,19.8,3.5,12.6,13.8,0.7,4.8,18090,4.6,49.8,13.6,61.8,3.3,2.1,22.1,66.8,1.3,37201,2.9,16.1,50.8,49.2,50.1,31622,84.3,30756,81.9,27827,80,33.6,10832,28.9,96.8,93.6,86,37533,18.1,108,0.3,348,446,1.2,3634,9.7,1840,4.9,0,0,1520,4,33271,88.6,0.39,0.59,0.26,0.89,0.84,0.83,0.02,0.03,0.13,30716,9.7,"NC","North Carolina","Macon",37,113,"38,412","31,394",10.9,"( 8.4, 13.9)",12.3,"( 9.5, 15.6)"
